Symptom,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
pain,0,2,2,1,0,2,2,2,2,2,2,0,2,1,2,0,2,1,0,0,0,2,2,1,1,1,1,2,2,0,0
nausea,2,2,2,2,2,2,1,2,2,1,0,0,1,2,1,0,1,2,1,0,2,2,0,2,2,0,0,0,2,1,2
vomiting,1,1,1,2,2,2,1,0,2,1,1,2,1,2,0,1,1,0,2,0,0,0,2,1,0,0,2,2,1,1,1
dyspnea,0,1,0,1,2,2,0,2,1,2,1,2,2,2,2,0,2,1,2,0,1,0,1,0,2,1,2,2,0,1,2
constipation,2,1,1,1,0,2,0,1,2,0,1,1,2,2,2,1,0,1,2,1,0,0,1,0,1,2,0,2,2,1,0
weakness,0,2,2,1,1,2,1,0,1,2,0,2,0,0,2,1,1,2,1,2,1,1,0,2,1,0,0,2,2,2,1
lack of appetite,0,2,1,0,2,1,0,0,2,2,0,0,2,2,0,0,1,1,1,2,1,1,2,1,0,2,1,0,0,0,2
tiredness,2,0,0,0,1,1,2,2,0,2,0,2,1,2,1,1,1,2,2,0,2,2,0,1,0,2,0,0,0,1,2
decubitus,2,2,2,2,2,0,1,0,0,0,1,2,2,2,1,2,2,2,1,0,1,0,1,2,1,2,0,2,2,2,1
need help in daily life,0,1,1,1,2,0,1,0,0,1,2,0,1,1,2,0,2,0,0,1,1,2,2,0,2,0,1,1,2,0,0
depressive mood,2,2,1,2,0,0,0,0,1,2,0,2,1,2,1,0,2,2,0,2,2,0,2,2,1,1,2,1,0,2,1
anxiety,0,0,1,0,1,2,1,1,2,1,0,1,0,2,0,0,1,2,2,2,1,0,0,1,1,1,2,0,2,2,0
mental tension,1,2,0,0,0,2,0,0,0,2,0,1,0,0,2,0,2,0,0,1,0,1,1,0,1,1,2,1,0,2,2
confusion,1,2,0,2,1,2,0,2,1,2,0,2,1,2,0,2,1,2,0,2,1,2,0,2,1,2,0,2,1,2,0
problems in care,0,2,1,2,2,1,1,0,2,1,2,0,2,0,2,1,1,1,2,1,2,1,0,0,1,1,2,1,2,0,2
family burden,0,2,1,2,0,1,2,0,0,1,0,2,1,2,0,2,1,2,2,2,1,2,2,0,2,1,0,0,0,2,1
